_time,_value
2023-03-10T07:20:01.144662255Z,0.8306
2023-03-10T07:20:02.253201124Z,0.8221
2023-03-10T07:20:03.370515594Z,0.8097
2023-03-10T07:20:04.48392299Z,0.8125
2023-03-10T07:20:05.598999471Z,0.8706
2023-03-10T07:20:06.72991274Z,0.8317
2023-03-10T07:20:07.830500551Z,0.8184
2023-03-10T07:20:08.943875012Z,0.8159
2023-03-10T07:20:10.058712791Z,0.8076
2023-03-10T07:20:11.178055823Z,0.8255
2023-03-10T07:20:12.292129569Z,0.8173
2023-03-10T07:20:13.404314143Z,0.809
2023-03-10T07:20:14.519689857Z,0.8506
2023-03-10T07:20:15.636026181Z,0.8676
2023-03-10T07:20:16.752361006Z,0.8398
2023-03-10T07:20:17.864756384Z,0.8198
2023-03-10T07:20:18.979670991Z,0.8547
2023-03-10T07:20:20.094899287Z,0.8294
2023-03-10T07:20:21.210611559Z,0.8295
2023-03-10T07:20:22.326626335Z,0.8147
2023-03-10T07:20:23.440447884Z,0.8264
2023-03-10T07:20:24.556616861Z,0.8318
2023-03-10T07:20:25.670255408Z,0.8285
2023-03-10T07:20:26.790841439Z,0.7846
2023-03-10T07:20:27.904066865Z,0.7912
2023-03-10T07:20:29.015208085Z,0.7812
2023-03-10T07:20:30.130001449Z,0.7873
2023-03-10T07:20:31.24541882Z,0.833
2023-03-10T07:20:32.359702878Z,0.7835
2023-03-10T07:20:33.475089849Z,0.7915
2023-03-10T07:20:34.590045715Z,0.8439
2023-03-10T07:20:35.705082582Z,0.819
2023-03-10T07:20:36.836707497Z,0.8164
2023-03-10T07:20:37.93671523Z,0.8547
2023-03-10T07:20:39.05023633Z,0.8129
2023-03-10T07:20:40.164605439Z,0.8212
2023-03-10T07:20:41.285350528Z,0.7978
2023-03-10T07:20:42.397702713Z,0.8068
2023-03-10T07:20:43.511756919Z,0.7777
2023-03-10T07:20:44.625493459Z,0.7953
2023-03-10T07:20:45.741325133Z,0.854
2023-03-10T07:20:46.862889075Z,0.8159
2023-03-10T07:20:47.972892479Z,0.8164
2023-03-10T07:20:49.085822018Z,0.8085
2023-03-10T07:20:50.275216066Z,0.8713
2023-03-10T07:20:51.357244838Z,0.8279
2023-03-10T07:20:52.445898029Z,0.8155
2023-03-10T07:20:53.546469203Z,0.7756
2023-03-10T07:20:54.661853058Z,0.7816
2023-03-10T07:20:55.776007097Z,0.7927
2023-03-10T07:20:56.909716677Z,0.8588
2023-03-10T07:20:58.010556453Z,0.8155
2023-03-10T07:20:59.123513578Z,0.8315
2023-03-10T07:21:00.242499727Z,0.8189
2023-03-10T07:21:01.351615389Z,0.8245
2023-03-10T07:21:02.466184318Z,0.8188
2023-03-10T07:21:03.580906348Z,0.8059
2023-03-10T07:21:04.695879981Z,0.8379
